REGULADOR SMARTBITT 2.200V/1100 W 8 CONTACTOS LED PROTECCION RJ 1;22.09;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;19;C15000A
BATERIA VRLA 12V 9AH .;27.55;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;255;H21000S
REGULADOR 2500VA 2000W ER2550 6CONTACTOS GARANTIA PLATINUM;54.78;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;363;D93003S
REGULADOR DE VOLTAJE CDP DE 3000VA 1500W 8 CONT;84.36;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;36;H21000G
APC SMART UPS RT 3000VA 120V 3000VA 120V;1,606.24;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;24;B11011R
NOBREAK UPS CYBERPOWER CP1350;277.28;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;87;A09000R
CHAROLA PARA RACK 2U 35CM LISA 19IN;18.40;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;28;G5800Q8
APC SMART-UPS RT 19IN RAIL KIT FOR SMART UPS RT 3 KVA;116.42;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;28;B11011S
BACK UPS PRO BR 900VA 6 OUTLET AVR LCD INTERFACE 230 V;221.42;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;143;B1103JU
APC REPLACEMENT BATTERY CARTRIDGE 43;407.21;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;69;687009N
APC SMART UPS SRT 2200VA 120V .;1,300.34;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;10;B110153
SMARTBITT BATERIA 12V/7AH .;0.00;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;121;C150086
VICA OPTIMA 500 NOBREAK  500VA/ 240W 6 TOMAS SW MONITOREO RJ11/45;60.77;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;13;9990063
APC REPLACEMENT BATTERY CARTRID CARTRIDGE 55;361.19;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;44;68701HT
SMARTBITT NO-BREAK 1800VA/900 W ATTS 8 CONTACTOS 6 CONTACTOS PO;176.99;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;22;C15002K
TORNILLOS M6 TUERCA ENJAULADA PAQUETE 100 JUEGOS GABINETE Y RACK;30.21;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;50;A0201J4
NOBREAK SMARTBITT SBNB2400 2400VA/1200WATTS 8 CONT PROT LINEA;3,568.73;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;32;C15007X
BACK UPS PRO BX 1000VA 8 OUTLE AVR LCD INTERFACE LAM 60HZ;161.28;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;16;B1102NZ
SMARTBITT BATERIA 12V/9AH .;0.00;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;83;C15002S
NO BREAK INTERACTIVO CDP DE 1500VA / 900 WATTS 10C;319.10;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;74;H210004
APC BACK UPS 700VA 120V AVR USB CHARGING NEMA SOCKETS;64.25;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;131;B1103GB
APC REPLACEMENT BATTERY CARTRIDGE 123;77.06;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;94;68700Q4
NOBREAK SMARTBITT 900VA/480W INTERACTIVO 6 CONT LED.45 MIN R.SP;95.75;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;82;C150017
BACK UPS RS LCD 700 MASTER CONTROL;141.48;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;36;68700DN
BASE PORTO TIL PARA LAPTOP Y TABLETA;15.00;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;53;A1700ZB
BATERIA VRLA 12V 4.5AH ..;13.84;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;306;H21000Q
REGULADOR DE VOLTAJE CDP DE 1000VA/500W 8C;33.91;;;;2025-09-15;;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;https://mx.ingrammicro.com/cep/app/product/productsearch?categories=CAT_REFINE||eq||Protección+Eléctrica||false||&sortBy=relevance&page=1&rowsPerPage=40;USD;56;H21000D
