Nobreak SMS Premium 700VA Bivolt E/S, Wifi, Senoidal - 29500;; 1.399,90; 129,62;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak APC SRV 3kVA Mono 230V Rack Dupla Conversão - SRV3KRI-BR S/ Extensão de Bateria;; 5.999,90; 555,55;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak SMS Premium 1800VA Bivolt E/S, Wifi, Senoidal - 29502;; 2.099,90; 194,44;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak SMS Tech 800VA Bivolt 220V - 29303;; 679,90; 62,95;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak SMS Tech 800VA Bivolt 115V - 29302;; 699,91; 64,81;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak SMS Tech 1400VA Bivolt 115V - 29305;; 899,91; 83,32;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak SMS Keor Compact 20KVA/18KW Trifásico 380V P/ Bateria Interna Dupla Conversão - 28619;; 27.799,91; 2.574,07;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak SMS Tech 700VA Bivolt 115V - 29301;; 579,90; 53,69;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak SMS Keor Compact 10KVA/9KW Trifásico 380V P/ Bateria Interna Dupla Conversão - 28618;; 24.499,90; 2.268,51;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
Nobreak SMS Gamer 2000VA, Bivolt E/S, Wifi - 29601;; 2.299,90; 212,95;12;2025-09-01;energia;https://www.ifontech.com.br/;https://www.ifontech.com.br/perifericos/energia/?pg=2;BRL;;
