Nobreak Gamer One Up Nitro 1400VA (980W), Senoidal, RGB, Bivolt 4591, Ragtech - CX 1 UN;2.177,55;; 236,69;10;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/gamers/nobreaks-bivolt-gamer/13/2119?menuID=197&tipo=S;;BRL;;
Nobreak Gamer One Up Nitro 1000VA (700W), Senoidal, RGB, Bivolt 4592, Ragtech - CX 1 UN;1.709,10;; 189,90;10;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/gamers/nobreaks-bivolt-gamer/13/2119?menuID=197&tipo=S;;BRL;;
Nobreak SMS Lite, 1200v, 6 tomadas, 110V, 0029205, SMS - CX 1 UN;681,90;; 68,19;10;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
Nobreak Attiv 700va, 4 tomadas, 110v, 4822203, Intelbras - CX 1 UN;509,00;; 169,67;3;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
Nobreak Intelbras 1800VA 110v 6 tomadas - XNB1800 CX 1 UN;1.103,08;; 119,90;10;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
Nobreak Attiv 600va, 4 tomadas, 110v, 4822200, Intelbras - CX 1 UN;515,50;; 171,83;3;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
Nobreak SMS Lite, 600va, 4 tomadas, 110v, 0029200, SMS - CX 1 UN;409,90;; 136,63;3;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
Nobreak UPS Mini 600va mono, 110v, 6 tomadas 4004, Ts Shara - CX 1 UN;504,10;; 168,03;3;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
Nobreak Intelbras 720VA, 4 tomadas, 110v, XNB720 CX 1 UN;479,90;; 159,97;3;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
Nobreak Intelbras 1200VA 110v 6 tomadas - XNB1200 CX 1 UN;719,00;; 239,67;3;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
Nobreak Intelbras 600VA 110v 4 tomadas - XNB600 CX 1 UN;459,90;; 153,30;3;2025-10-10;Nobreaks;https://www.kalunga.com.br/depto/eletrica-manutencao/nobreaks-mono/34/401?menuID=197&tipo=D;;BRL;;
